timestamp	step	loss
1664787192871	0	0.9959
1664787234891	2	0.1101
1664787285939	4	0.3266
1664787327445	6	0.3661
1664787378111	8	0.6133
1664787454808	10	0.7127
1664787564714	12	0.8977
1664788488387	16	0.3721
1664788670744	18	0.7842
1664788885604	20	1.4793
1664789072865	22	0.0489
1664789221743	24	1.4248
1664789436638	26	0.7012
1664789612203	28	1.6287
1664789810607	30	0.3353
1664791466593	32	0.0517
